"","fm_1","fm_2","fm_3","m_4","m_5","m_6"
"WBGene00020915",27,18,16,14,13,11
"WBGene00004154",1,0,0,0,0,0
"WBGene00020914",0,0,0,3,0,5
"WBGene00020917",4,0,0,4,1,1
"WBGene00020913",0,0,0,0,1,1
"WBGene00000036",0,0,0,2,0,1
"WBGene00303088",0,0,0,0,0,0
"WBGene00021548",2,0,0,1,0,1
"WBGene00021549",1,3,0,2,1,6
"WBGene00021547",0,0,0,0,0,0
"WBGene00021551",6,5,2,1,0,2
"WBGene00021039",0,0,1,0,0,1
"WBGene00195045",0,0,0,0,0,0
"WBGene00021035",21,10,12,0,1,0
"WBGene00021038",4,3,2,1,1,1
"WBGene00021036",4,0,2,3,2,2
"WBGene00019362",1,2,1,1,2,0
"WBGene00019361",2,0,0,3,4,5
"WBGene00019360",0,0,0,0,0,0
"WBGene00004775",12,8,10,8,5,6
"WBGene00006440",4,8,2,7,1,6
"WBGene00021639",0,0,0,4,1,5
"WBGene00003422",11,11,7,5,5,4
"WBGene00021640",3,1,1,2,1,2
"WBGene00004978",8,4,3,6,2,3
"WBGene00021641",0,0,0,0,0,0
"WBGene00021638",1,3,2,0,1,1
"WBGene00000794",7,8,7,0,2,0
"WBGene00021643",0,0,0,0,0,0
"WBGene00021637",2,3,1,1,1,1
"WBGene00021644",2,0,1,4,0,7
"WBGene00021636",4,2,4,1,0,0
"WBGene00021645",1,2,2,2,2,1
"WBGene00021653",0,0,0,0,0,0
"WBGene00021635",1,0,0,1,1,1
"WBGene00004389",3,3,5,1,2,3
"WBGene00021634",4,2,2,1,0,1
"WBGene00021646",3,1,0,0,0,0
"WBGene00021647",2,1,1,6,2,1
"WBGene00045399",1,5,0,2,2,3
"WBGene00003060",6,8,5,7,4,6
"WBGene00021633",0,0,0,2,1,0
"WBGene00044436",0,1,1,0,0,0
"WBGene00021648",1,0,2,0,1,1
"WBGene00021649",0,0,1,0,1,2
"WBGene00002144",5,8,5,1,0,0
"WBGene00002143",0,5,1,0,0,3
"WBGene00021650",0,0,0,4,5,3
"WBGene00044437",0,0,0,0,0,0
"WBGene00000284",0,0,0,0,0,0
"WBGene00020902",0,0,0,0,0,0
"WBGene00020901",0,0,1,0,0,0
"WBGene00020900",0,0,0,0,0,0
"WBGene00000368",0,1,0,0,1,2
"WBGene00000627",0,0,0,0,0,0
"WBGene00000628",0,0,0,0,0,0
"WBGene00020903",0,0,0,2,0,3
"WBGene00004890",1,0,0,1,2,1
"WBGene00001501",11,8,7,21,10,11
"WBGene00004272",4,9,5,2,2,0
"WBGene00017025",2,0,4,2,1,0
"WBGene00017026",0,0,0,5,3,3
"WBGene00003418",7,6,11,2,4,0
"WBGene00002042",2,0,0,0,0,0
"WBGene00017651",0,0,0,2,0,0
"WBGene00017650",0,0,0,0,0,0
"WBGene00003040",2,2,3,1,2,2
"WBGene00001601",4,4,1,3,2,1
"WBGene00020467",0,0,0,1,0,0
"WBGene00004147",16,8,14,7,11,4
"WBGene00020466",0,1,1,0,0,0
"WBGene00021175",0,0,0,0,0,0
"WBGene00002135",2,2,4,4,5,4
"WBGene00002134",0,2,4,2,5,6
"WBGene00022815",0,0,0,0,0,0
"WBGene00194702",0,0,0,0,0,0
"WBGene00016324",0,0,0,0,0,1
"WBGene00284853",0,0,0,2,0,1
"WBGene00004368",0,1,0,0,0,1
"WBGene00016323",1,2,1,1,1,1
"WBGene00016322",0,1,0,7,5,0
"WBGene00016321",3,1,2,1,0,3
"WBGene00004425",66,66,51,51,54,39
"WBGene00004217",18,14,17,2,3,0
"WBGene00016325",0,0,1,0,1,0
"WBGene00016320",0,0,0,0,0,0
"WBGene00006751",9,3,4,3,3,5
"WBGene00016326",8,4,9,9,6,7
"WBGene00003797",8,5,7,1,2,2
"WBGene00006833",9,8,9,7,11,10
"WBGene00018765",5,3,4,1,1,4
"WBGene00044423",0,1,0,0,0,2
"WBGene00018764",15,11,11,13,9,12
"WBGene00018763",0,0,0,1,0,1
"WBGene00020187",0,0,0,15,12,8
"WBGene00020188",0,0,0,0,0,1
"WBGene00020192",0,0,0,0,2,1
"WBGene00020189",0,3,0,0,0,0
"WBGene00020190",3,2,3,2,3,1
"WBGene00001832",8,10,8,5,6,6
"WBGene00020185",19,10,12,8,16,10
"WBGene00000764",0,3,1,0,1,0
"WBGene00020191",1,0,0,2,0,2
"WBGene00020184",4,4,0,8,5,3
"WBGene00020193",1,2,2,0,2,0
"WBGene00016837",7,4,4,1,1,1
"WBGene00016836",2,6,4,7,2,4
"WBGene00000013",0,0,0,1,1,1
"WBGene00000012",0,0,0,5,0,2
"WBGene00016838",0,0,0,1,1,2
"WBGene00016839",0,0,0,0,0,5
"WBGene00001430",0,2,1,0,0,0
